unique.ID,block,water,microbe,rep,bkgrd,focal,ACAM,BRHO,BRHO.flowering,date,BRHO.flowering.followup,date.followup,sample.collected,num.living.bg.indiv,num.dead.bg.indiv,num.focal.indiv,date,notes
36,22,0.6,0,2,ACAM,BRHO,24,focal,no,4/10/24,no,4/15/24,,,,,,
84,22,1,0,3,ACAM,BRHO,12,focal,buds,4/10/24,yes,4/15/24,,,,,,
2,22,0.6,0,1,ACAM,BRHO,3,focal,yes,4/10/24,,,,,,,,
5,22,0.6,0,1,ACAM,BRHO,18,focal,yes,4/10/24,,,,,,,,
70,22,0.6,0,3,ACAM,BRHO,84,focal,yes,4/10/24,,,,,,,,
107,22,0.75,0,4,ACAM,BRHO,36,focal,no,4/10/24,buds,4/15/24,,,,,,
91,22,0.6,0,4,ACAM,BRHO,0,focal,no,4/10/24,yes,4/15/24,,,,,,
110,22,0.75,0,4,ACAM,BRHO,84,focal,yes,4/10/24,,,,,,,,
159,23,0.6,1,1,ACAM,BRHO,60,focal,buds,4/10/24,yes,4/15/24,,,,,,
212,23,0.6,1,3,ACAM,BRHO,3,focal,yes,4/10/24,,,,,,,,
246,23,0.6,1,4,ACAM,BRHO,24,focal,no,4/10/24,no,4/15/24,,,,,,
267,23,1,1,4,ACAM,BRHO,36,focal,yes,4/10/24,,,,,,,,
357,23,1,1,5,BRHO,ACAM,focal,0,NA,4/10/24,,,,,,,,
211,23,0.6,1,3,ACAM,BRHO,0,focal,yes,4/10/24,,,,,,,,
338,23,0.6,1,4,BRHO,ACAM,focal,12,no,4/10/24,no,4/15/24,,,,,,
321,23,1,1,2,BRHO,ACAM,focal,0,NA,4/10/24,,,,,,,,
192,24,0.75,1,2,ACAM,BRHO,3,focal,yes,4/10/24,,,,,,,,
330,24,0.75,1,3,BRHO,ACAM,focal,12,yes,4/10/24,,,,,,,,
178,24,1,1,1,ACAM,BRHO,48,focal,yes,4/10/24,,,,,,,,
154,24,0.6,1,1,ACAM,BRHO,12,focal,yes,4/10/24,,,,,,,,
158,24,0.6,1,1,ACAM,BRHO,48,focal,yes,4/10/24,,,,,,,,
251,24,0.75,1,4,ACAM,BRHO,0,focal,yes,4/10/24,,,,,,,,
176,24,1,1,1,ACAM,BRHO,24,focal,yes,4/10/24,,,,,,,,
353,24,0.75,1,5,BRHO,ACAM,focal,0,NA,4/10/24,,,,,,,,
198,25,0.75,1,2,ACAM,BRHO,48,focal,yes,4/10/24,,,,,,,,
182,25,0.6,1,2,ACAM,BRHO,3,focal,no,4/10/24,yes,4/15/24,,,,,,
190,25,0.6,1,2,ACAM,BRHO,84,focal,no,4/10/24,buds,4/15/24,,,,,,
256,25,0.75,1,4,ACAM,BRHO,24,focal,yes,4/10/24,,,,,,,,
187,25,0.6,1,2,ACAM,BRHO,36,focal,yes,4/10/24,,,,,,,,
175,25,1,1,1,ACAM,BRHO,18,focal,no,4/10/24,buds,4/15/24,,,,,,
227,25,0.75,1,3,ACAM,BRHO,36,focal,buds,4/10/24,yes,4/15/24,,,,,,
350,25,0.6,1,5,BRHO,ACAM,focal,12,yes,4/10/24,,,,,,,,
216,26,0.6,1,3,ACAM,BRHO,24,focal,no,4/10/24,no,4/15/24,,,,,,
172,26,1,1,1,ACAM,BRHO,3,focal,no,4/10/24,no,4/15/24,,,,,,
204,26,1,1,2,ACAM,BRHO,12,focal,no,4/10/24,no,4/15/24,,,,,,
157,26,0.6,1,1,ACAM,BRHO,36,focal,no,4/10/24,no,4/15/24,,,,,,
219,26,0.6,1,3,ACAM,BRHO,60,focal,no,4/10/24,no,4/15/24,,,,,,
301,26,0.6,1,1,BRHO,ACAM,focal,0,NA,4/10/24,,,,,,,,
250,26,0.6,1,4,ACAM,BRHO,84,focal,no,4/10/24,no,4/15/24,,,,,,
188,26,0.6,1,2,ACAM,BRHO,48,focal,yes,4/10/24,,,,,,,,
77,27,0.75,0,3,ACAM,BRHO,36,focal,yes,4/10/24,,,,,,,,
76,27,0.75,0,3,ACAM,BRHO,24,focal,no,4/10/24,no,4/15/24,,,,,,
4,27,0.6,0,1,ACAM,BRHO,12,focal,yes,4/10/24,,,,,,,,
49,27,0.75,0,2,ACAM,BRHO,60,focal,yes,4/10/24,,,,,,,,
104,27,0.75,0,4,ACAM,BRHO,12,focal,yes,4/10/24,,,,,,,,
51,27,1,0,2,ACAM,BRHO,0,focal,yes,4/10/24,,,,,,,,
62,27,0.6,0,3,ACAM,BRHO,3,focal,no,4/10/24,no,4/15/24,,,,,,
103,27,0.75,0,4,ACAM,BRHO,6,focal,buds,4/10/24,yes,4/15/24,,,,,,
42,28,0.75,0,2,ACAM,BRHO,3,focal,buds,4/10/24,yes,4/15/24,,,,,,
89,28,1,0,3,ACAM,BRHO,60,focal,buds,4/10/24,buds,4/15/24,,,,,,
46,28,0.75,0,2,ACAM,BRHO,24,focal,buds,4/10/24,yes,4/15/24,,,,,,
57,28,1,0,2,ACAM,BRHO,36,focal,no,4/10/24,no,4/15/24,,,,,,
59,28,1,0,2,ACAM,BRHO,60,focal,yes,4/10/24,,,,,,,,
1,28,0.6,0,1,ACAM,BRHO,0,focal,no,4/10/24,no,4/15/24,,,,,,
99,28,0.6,0,4,ACAM,BRHO,60,focal,no,4/10/24,yes,4/15/24,,,,,,
118,28,1,0,4,ACAM,BRHO,48,focal,no,4/10/24,no,4/15/24,,,,,,
38,29,0.6,0,2,ACAM,BRHO,48,focal,yes,4/10/24,,,,,,,,
