"focal","water","post_num","igr","equil","alpha_inter","microbe"
"ACAM",0.6,2083,-2.21994377218359,113,-0.0535511527015061,1
"ACAM",0.6,1104,-2.08665414799659,104,-0.0543479919550445,1
"ACAM",0.6,2155,-2.16484338291676,107,-0.0555687459749486,1
"ACAM",0.6,1464,-2.03230457454686,106,-0.0526340299500347,1
"ACAM",0.6,1381,-1.98436289354477,109,-0.0491212316693431,1
"ACAM",0.6,1871,-1.94657039556744,105,-0.0505459610997376,1
"ACAM",0.6,1169,-1.98506784173684,105,-0.0510675248566248,1
"ACAM",0.6,2691,-1.97225347939279,106,-0.0511520719099811,1
"ACAM",0.6,1480,-2.16006437154554,110,-0.0542966440283306,1
"ACAM",0.6,603,-1.9425777222788,106,-0.0517734144731388,1
"ACAM",0.6,1334,-1.76659701606693,102,-0.049628921922485,1
"ACAM",0.6,1277,-2.34952160348552,109,-0.0619491463901082,1
"ACAM",0.6,2091,-2.24852088701422,105,-0.0588957362518627,1
"ACAM",0.6,2513,-2.06703953352046,110,-0.0510831520078425,1
"ACAM",0.6,122,-2.01874221175047,112,-0.0504476871916729,1
"ACAM",0.6,64,-2.31139710386141,119,-0.0541596874278304,1
"ACAM",0.6,1241,-2.20837070113232,119,-0.0507241858102821,1
"ACAM",0.6,2410,-2.31584834318439,107,-0.0615701287855503,1
"ACAM",0.6,1515,-2.2595217266662,119,-0.0524127050628832,1
"ACAM",0.6,359,-2.21395912819544,110,-0.0553279429759314,1
"ACAM",0.6,2120,-2.30867946728263,109,-0.0588168616190129,1
"ACAM",0.6,1236,-2.06506921668653,107,-0.0532594155699313,1
"ACAM",0.6,1306,-2.25300561208234,109,-0.0569102218255673,1
"ACAM",0.6,2646,-2.23091055224647,115,-0.0526748107058881,1
"ACAM",0.6,598,-2.00999217781461,117,-0.0467039451748895,1
"ACAM",0.6,381,-1.86833102010745,113,-0.0452848211610749,1
"ACAM",0.6,83,-1.99527433598859,113,-0.0488599848819074,1
"ACAM",0.6,1726,-2.03481051312965,113,-0.0490346527272047,1
"ACAM",0.6,2537,-2.30972724287094,108,-0.0606156796499277,1
"ACAM",0.6,2932,-2.04448047335133,111,-0.0506688420105095,1
"ACAM",0.6,43,-2.08290858386077,106,-0.0537013296515902,1
"ACAM",0.6,1789,-1.75176894934617,108,-0.045618481417781,1
"ACAM",0.6,2187,-2.2595693418888,104,-0.060033379838167,1
"ACAM",0.6,1260,-2.40012511799182,119,-0.0585303299763616,1
"ACAM",0.6,760,-2.37996973703116,114,-0.0600587714033896,1
"ACAM",0.6,589,-2.2237126550574,110,-0.055321379897598,1
"ACAM",0.6,858,-2.17199723656035,107,-0.0552871769300858,1
"ACAM",0.6,283,-2.23333389857897,113,-0.0553011413160096,1
"ACAM",0.6,1505,-1.97300947436594,103,-0.0536832782729732,1
"ACAM",0.6,734,-1.75225610558111,107,-0.046585978483129,1
"ACAM",0.6,806,-2.34304610274527,113,-0.0589840833516992,1
"ACAM",0.6,1914,-2.25473037535134,109,-0.0580876489478502,1
