"focal","water","post_num","igr","equil","alpha_inter","lambda","microbe"
"ACAM",0.6,2533,-2.28671941748408,108,-0.0589460582491439,28.0168215670129,1
"ACAM",0.6,1142,-2.39057084170679,112,-0.0620497577399306,29.4754960705953,1
"ACAM",0.6,3908,-1.94496479949945,106,-0.0512245780602898,29.7697061741342,1
"ACAM",0.6,2519,-2.19757666362102,109,-0.0551997281441425,27.4816291437462,1
"ACAM",0.6,2906,-2.08251194295766,111,-0.0513658691159879,28.0947648157271,1
"ACAM",0.6,3653,-2.20610101526164,114,-0.0531077203718632,27.7528418028445,1
"ACAM",0.6,2445,-2.17273123748706,107,-0.0560250550000534,29.0174456170146,1
"ACAM",0.6,267,-2.33546131132218,116,-0.0579585274338146,32.1146554615748,1
"ACAM",0.6,2474,-2.27623377236453,116,-0.055476443213728,31.3179107655495,1
"ACAM",0.6,3708,-2.27914438043142,109,-0.0588889597274441,30.3987343171211,1
"ACAM",0.6,149,-2.18490384892959,106,-0.0576197901577292,31.4734896519245,1
"ACAM",0.6,1534,-2.17275141367026,115,-0.0514260848227083,26.7460943866118,1
"ACAM",0.6,2571,-2.10200537206421,111,-0.0516930647276802,27.7280442175503,1
"ACAM",0.6,2013,-2.14511526093717,112,-0.0525460616017822,28.3869300900712,1
"ACAM",0.6,3368,-2.21819071302918,119,-0.0505310824784068,25.547221654685,1
"ACAM",0.6,2795,-2.37376782534425,110,-0.0627839489266926,31.3127264164258,1
"ACAM",0.6,1046,-2.2808728555739,110,-0.0570570437008803,26.1602173348397,1
"ACAM",0.6,388,-2.1957221539304,102,-0.0593738133557387,28.741243461128,1
"ACAM",0.6,1360,-2.35491450704314,117,-0.0574535422291164,28.9156563927277,1
"ACAM",0.6,460,-1.91290343134175,108,-0.0491171822333587,28.0360789712616,1
"ACAM",0.6,1804,-2.17296550834755,107,-0.0552895822702789,26.9707423658237,1
"ACAM",0.6,641,-2.18287048266237,108,-0.0551414622329408,27.1437558424221,1
"ACAM",0.6,3391,-2.14472444468342,110,-0.0527584308534608,26.1022383958273,1
"ACAM",0.6,3591,-2.22646916998258,116,-0.0521123061321913,25.5648428940453,1
"ACAM",0.6,121,-2.01167333061149,111,-0.0494343935981955,26.9914759175001,1
"ACAM",0.6,171,-2.30748833056352,107,-0.0602660794849773,27.6511800162774,1
"ACAM",0.6,1836,-1.96302820723495,111,-0.0486119058744822,27.5455566528307,1
"ACAM",0.6,1213,-2.17770336049921,110,-0.0542855465862812,28.0210057979115,1
"ACAM",0.6,159,-2.39768710550352,108,-0.064280531388286,27.8467697933012,1
"ACAM",0.6,4,-2.40532866668734,114,-0.0623081392795231,31.0667880374094,1
"ACAM",0.6,3387,-2.34612503678401,108,-0.0618645105512364,28.9797174489264,1
"ACAM",0.6,1407,-2.22049659756588,104,-0.0595441710189313,30.2188539484984,1
"ACAM",0.6,2527,-2.12326392827753,110,-0.0529493644855116,28.4601706580969,1
"ACAM",0.6,2284,-2.29077141764378,109,-0.0582759842873093,27.0578970230908,1
"ACAM",0.6,847,-2.26545861559266,109,-0.0580645348016923,29.3817569959686,1
"ACAM",0.6,2689,-2.12053690100826,110,-0.052733162146346,27.9209514478119,1
"ACAM",0.6,2837,-2.00045405577648,115,-0.0482624367213836,29.6598229639173,1
"ACAM",0.6,3384,-2.37286198211082,117,-0.0589621624834487,31.2132854207508,1
"ACAM",0.6,1703,-2.40852696319257,117,-0.0594783168019838,26.1434049457846,1
