unique.ID,block,water,microbe,rep,bkgrd,focal,ACAM,BRHO,BRHO.flowering,date,sample.collected,num.living.bg.indiv,num.dead.bg.indiv,num.focal.indiv,date,notes
312,33,1,1,1,BRHO,ACAM,focal,48,yes,,,,,,,
248,33,0.6,1,4,ACAM,BRHO,48,focal,yes,,,,,,,
208,33,1,1,2,ACAM,BRHO,48,focal,yes,,,,,,,
193,33,0.75,1,2,ACAM,BRHO,6,focal,no,,,,,,,
288,33,0.75,1,5,ACAM,BRHO,48,focal,yes,,,,,,,
155,35,0.6,1,1,ACAM,BRHO,18,focal,yes,,,,,,,
184,35,0.6,1,2,ACAM,BRHO,12,focal,no,,,,,,,
274,35,0.6,1,5,ACAM,BRHO,12,focal,yes,,,,,,,
317,35,0.75,1,2,BRHO,ACAM,focal,0,NA,,,,,,,
264,35,1,1,4,ACAM,BRHO,12,focal,yes,,,,,,,
199,35,0.75,1,2,ACAM,BRHO,60,focal,yes,,,,,,,
222,35,0.75,1,3,ACAM,BRHO,3,focal,no,,,,,,,
306,35,0.75,1,1,BRHO,ACAM,focal,12,yes,,,,,,,
310,36,1,1,1,BRHO,ACAM,focal,12,yes,,,,,,,
210,36,1,1,2,ACAM,BRHO,84,focal,yes,,,,,,,
151,36,0.6,1,1,ACAM,BRHO,0,focal,no,,,,,,,
352,36,0.6,1,5,BRHO,ACAM,focal,48,yes,,,,,,,
325,36,0.6,1,3,BRHO,ACAM,focal,0,NA,,,,,,,
223,36,0.75,1,3,ACAM,BRHO,6,focal,yes,,,,,,,
237,36,1,1,3,ACAM,BRHO,36,focal,yes,,,,,,,
358,36,1,1,5,BRHO,ACAM,focal,12,yes,,,,,,,
323,37,1,1,2,BRHO,ACAM,focal,24,yes,,,,,,,
244,37,0.6,1,4,ACAM,BRHO,12,focal,yes,,,,,,,
195,37,0.75,1,2,ACAM,BRHO,18,focal,yes,,,,,,,
309,37,1,1,1,BRHO,ACAM,focal,0,NA,,,,,,,
313,37,0.6,1,2,BRHO,ACAM,focal,0,NA,,,,,,,
320,37,0.75,1,2,BRHO,ACAM,focal,48,yes,,,,,,,
281,37,0.75,1,5,ACAM,BRHO,0,focal,yes,,,,,,,
342,37,0.75,1,4,BRHO,ACAM,focal,12,no,,,,,,,
224,38,0.75,1,3,ACAM,BRHO,12,focal,yes,,,,,,,
194,38,0.75,1,2,ACAM,BRHO,12,focal,yes,,,,,,,
230,38,0.75,1,3,ACAM,BRHO,84,focal,yes,,,,,,,
166,38,0.75,1,1,ACAM,BRHO,24,focal,no,,,,,,,
341,38,0.75,1,4,BRHO,ACAM,focal,0,NA,,,,,,,
257,38,0.75,1,4,ACAM,BRHO,36,focal,yes,,,,,,,
236,38,1,1,3,ACAM,BRHO,24,focal,buds,,,,,,,
153,38,0.6,1,1,ACAM,BRHO,6,focal,no,,,,,,,
174,39,1,1,1,ACAM,BRHO,12,focal,yes,,,,,,,
328,39,0.6,1,3,BRHO,ACAM,focal,48,yes,,,,,,,
245,39,0.6,1,4,ACAM,BRHO,18,focal,yes,,,,,,,
221,39,0.75,1,3,ACAM,BRHO,0,focal,no,,,,,,,
335,39,1,1,3,BRHO,ACAM,focal,24,yes,,,,,,,
233,39,1,1,3,ACAM,BRHO,6,focal,no,,,,,,,
220,39,0.6,1,3,ACAM,BRHO,84,focal,no,,,,,,,
249,39,0.6,1,4,ACAM,BRHO,60,focal,no,,,,,,,
355,40,0.75,1,5,BRHO,ACAM,focal,24,yes,,,,,,,
169,40,0.75,1,1,ACAM,BRHO,60,focal,yes,,,,,,,
229,40,0.75,1,3,ACAM,BRHO,60,focal,buds,,,,,,,
284,40,0.75,1,5,ACAM,BRHO,12,focal,no,,,,,,,
271,40,0.6,1,5,ACAM,BRHO,0,focal,yes,,,,,,,
334,40,1,1,3,BRHO,ACAM,focal,12,yes,,,,,,,
291,40,1,1,5,ACAM,BRHO,0,focal,no,,,,,,,
319,40,0.75,1,2,BRHO,ACAM,focal,24,no,,,,,,,
168,41,0.75,1,1,ACAM,BRHO,48,focal,yes,,,,,,,
254,41,0.75,1,4,ACAM,BRHO,12,focal,yes,,,,,,,
260,41,0.75,1,4,ACAM,BRHO,84,focal,yes,,,,,,,
263,41,1,1,4,ACAM,BRHO,6,focal,buds,,,,,,,
305,41,0.75,1,1,BRHO,ACAM,focal,0,NA,,,,,,,
318,41,0.75,1,2,BRHO,ACAM,focal,12,yes,,,,,,,
354,41,0.75,1,5,BRHO,ACAM,focal,12,yes,,,,,,,
235,41,1,1,3,ACAM,BRHO,18,focal,buds,,,,,,,
11,42,0.75,0,1,ACAM,BRHO,0,focal,yes,,,,,,,
45,42,0.75,0,2,ACAM,BRHO,18,focal,yes,,,,,,,
80,42,0.75,0,3,ACAM,BRHO,84,focal,yes,,,,,,,
14,42,0.75,0,1,ACAM,BRHO,12,focal,yes,,,,,,,
116,42,1,0,4,ACAM,BRHO,24,focal,yes,,,,,,,
272,34,0.6,1,5,ACAM,BRHO,3,focal,yes,,,,,,,
282,34,0.75,1,5,ACAM,BRHO,3,focal,yes,,,,,,,
361,34,0.75,1,6,ACAM,BRHO,12,focal,yes,,,,,,,
292,34,1,1,5,ACAM,BRHO,3,focal,no,,,,,,,
283,34,0.75,1,5,ACAM,BRHO,6,focal,yes,,,,,,,
273,34,0.6,1,5,ACAM,BRHO,6,focal,yes,,,,,,,
