unique.ID,block,water,microbe,rep,bkgrd,focal,ACAM,BRHO
297,13,1,1,5,ACAM,BRHO,36,3
298,23,1,1,5,ACAM,BRHO,48,3
299,28,1,1,5,ACAM,BRHO,60,3
300,37,1,1,5,ACAM,BRHO,84,3
301,20,0.5,1,1,BRHO,ACAM,3,0
302,8,0.5,1,1,BRHO,ACAM,3,12
303,9,0.5,1,1,BRHO,ACAM,3,24
304,5,0.5,1,1,BRHO,ACAM,3,48
305,41,0.75,1,1,BRHO,ACAM,3,0
306,42,0.75,1,1,BRHO,ACAM,3,12
307,11,0.75,1,1,BRHO,ACAM,3,24
308,25,0.75,1,1,BRHO,ACAM,3,48
309,36,1,1,1,BRHO,ACAM,3,0
310,29,1,1,1,BRHO,ACAM,3,12
311,26,1,1,1,BRHO,ACAM,3,24
312,37,1,1,1,BRHO,ACAM,3,48
313,37,0.5,1,2,BRHO,ACAM,3,0
314,45,0.5,1,2,BRHO,ACAM,3,12
315,2,0.5,1,2,BRHO,ACAM,3,24
316,13,0.5,1,2,BRHO,ACAM,3,48
317,28,0.75,1,2,BRHO,ACAM,3,0
318,41,0.75,1,2,BRHO,ACAM,3,12
319,41,0.75,1,2,BRHO,ACAM,3,24
320,39,0.75,1,2,BRHO,ACAM,3,48
321,44,1,1,2,BRHO,ACAM,3,0
322,8,1,1,2,BRHO,ACAM,3,12
323,42,1,1,2,BRHO,ACAM,3,24
324,3,1,1,2,BRHO,ACAM,3,48
325,31,0.5,1,3,BRHO,ACAM,3,0
326,4,0.5,1,3,BRHO,ACAM,3,12
327,13,0.5,1,3,BRHO,ACAM,3,24
328,32,0.5,1,3,BRHO,ACAM,3,48
329,45,0.75,1,3,BRHO,ACAM,3,0
330,16,0.75,1,3,BRHO,ACAM,3,12
331,12,0.75,1,3,BRHO,ACAM,3,24
332,6,0.75,1,3,BRHO,ACAM,3,48
333,13,1,1,3,BRHO,ACAM,3,0
334,35,1,1,3,BRHO,ACAM,3,12
335,32,1,1,3,BRHO,ACAM,3,24
336,9,1,1,3,BRHO,ACAM,3,48
337,36,0.5,1,4,BRHO,ACAM,3,0
338,16,0.5,1,4,BRHO,ACAM,3,12
339,1,0.5,1,4,BRHO,ACAM,3,24
340,13,0.5,1,4,BRHO,ACAM,3,48
341,40,0.75,1,4,BRHO,ACAM,3,0
342,40,0.75,1,4,BRHO,ACAM,3,12
343,22,0.75,1,4,BRHO,ACAM,3,24
344,37,0.75,1,4,BRHO,ACAM,3,48
345,34,1,1,4,BRHO,ACAM,3,0
346,5,1,1,4,BRHO,ACAM,3,12
347,44,1,1,4,BRHO,ACAM,3,24
348,27,1,1,4,BRHO,ACAM,3,48
349,2,0.5,1,5,BRHO,ACAM,3,0
350,19,0.5,1,5,BRHO,ACAM,3,12
351,2,0.5,1,5,BRHO,ACAM,3,24
352,30,0.5,1,5,BRHO,ACAM,3,48
353,44,0.75,1,5,BRHO,ACAM,3,0
354,43,0.75,1,5,BRHO,ACAM,3,12
355,33,0.75,1,5,BRHO,ACAM,3,24
356,3,0.75,1,5,BRHO,ACAM,3,48
357,15,1,1,5,BRHO,ACAM,3,0
358,31,1,1,5,BRHO,ACAM,3,12
359,6,1,1,5,BRHO,ACAM,3,24
360,8,1,1,5,BRHO,ACAM,3,48
