"focal","water","post_num","igr"
"ACAM",0.75,2375,-2.18881256499375
"ACAM",0.75,1646,-1.40250189829683
"ACAM",0.75,355,-2.18320693146667
"ACAM",0.75,1843,-1.81868318847787
"ACAM",0.75,2860,-2.11897245715357
"ACAM",0.75,1073,-1.59742378640709
"ACAM",0.75,361,-1.2250702158555
"ACAM",0.75,1340,-1.82841733826323
"ACAM",0.75,1266,-2.16882110601936
"ACAM",0.75,3512,-1.65607709654755
"ACAM",0.75,2806,-1.64496167341939
"ACAM",0.75,1841,-1.59533034665581
"ACAM",0.75,2866,-2.38687373583
"ACAM",0.75,247,-1.64861394739734
"ACAM",0.75,751,-2.0897135710144
"ACAM",0.75,219,-2.5172497895827
"ACAM",0.75,135,-2.20734524681277
"ACAM",0.75,111,-1.94463964061013
"ACAM",0.75,532,-2.2436796694376
"ACAM",0.75,2425,-1.48516435939043
"ACAM",0.75,408,-2.08672800046303
"ACAM",0.75,3123,-2.00314726829237
"ACAM",0.75,1589,-1.95099240695505
"ACAM",0.75,912,-0.824620511009438
"ACAM",0.75,2515,-0.70282836416135
"ACAM",0.75,3428,-2.51135884457773
"ACAM",0.75,2178,-2.10933287684835
"ACAM",0.75,3887,-1.49375084238439
"ACAM",0.75,3137,-2.08777807202408
"ACAM",0.75,1836,-1.69733462423151
"ACAM",0.75,359,-1.81073689987307
"ACAM",0.75,2153,-1.86865082505478
"ACAM",0.75,1148,-1.44590545397627
"ACAM",0.75,2042,-1.59885614464645
"ACAM",0.75,1101,-1.07682691288555
"ACAM",0.75,1242,-2.16077744815524
"ACAM",0.75,3682,-2.34405496178937
"ACAM",1,1422,-1.24351505862751
"ACAM",1,1017,0.838537739464839
"ACAM",1,3908,-0.936517147196331
"ACAM",1,679,-0.683897924279347
"ACAM",1,2177,-1.28892605884131
"ACAM",1,930,0.127988826534226
"ACAM",1,1533,0.593175376359242
"ACAM",1,471,0.515800522320152
"ACAM",1,2347,0.0724182479462124
"ACAM",1,270,-0.711552790827253
"ACAM",1,1211,-0.938747837743966
"ACAM",1,3379,0.234898674885091
"ACAM",1,597,-0.256018576581524
"ACAM",1,1301,-0.635213027465961
"ACAM",1,3946,-0.381223972575785
"ACAM",1,1974,-0.264946609020467
"ACAM",1,3566,-0.04757732392615
